Day,Incidents
2023-04-13,403
2023-04-14,453
2023-04-15,445
2023-04-16,402
2023-04-17,426
2023-04-18,399
2023-04-19,448
2023-04-20,415
2023-04-21,462
2023-04-22,406
2023-04-23,398
2023-04-24,431
2023-04-25,432
2023-04-26,441
2023-04-27,406
2023-04-28,451
2023-04-29,398
2023-04-30,412
2023-05-01,521
2023-05-02,445
2023-05-03,412
2023-05-04,402
2023-05-05,468
2023-05-06,399
2023-05-07,377
2023-05-08,415
2023-05-09,356
2023-05-10,384
2023-05-11,393
2023-05-12,441
2023-05-13,440
2023-05-14,444
2023-05-15,413
2023-05-16,413
2023-05-17,419
2023-05-18,373
2023-05-19,453
2023-05-20,414
2023-05-21,391
2023-05-22,409
2023-05-23,415
2023-05-24,380
2023-05-25,418
2023-05-26,428
2023-05-27,430
2023-05-28,387
2023-05-29,365
2023-05-30,366
2023-05-31,409
2023-06-01,460
2023-06-02,466
2023-06-03,454
2023-06-04,370
2023-06-05,394
2023-06-06,412
2023-06-07,402
2023-06-08,417
2023-06-09,424
2023-06-10,441
2023-06-11,445
2023-06-12,409
2023-06-13,374
2023-06-14,408
2023-06-15,411
2023-06-16,387
2023-06-17,434
2023-06-18,377
2023-06-19,411
2023-06-20,342
2023-06-21,373
2023-06-22,439
2023-06-23,430
2023-06-24,401
2023-06-25,403
2023-06-26,401
2023-06-27,306
2023-06-28,346
2023-06-29,342
2023-06-30,315
2023-07-01,378
2023-07-02,259
2023-07-03,48
